,concept,randneg,baseline,pos,augment_randneg,augment_baseline,augment_pos
0,health worker,0.0822,0.7547,0.4157,0.0307,0.6683,0.3844
1,judge,0.0619,0.0291,0.1403,0.0173,-0.0211,0.0623
2,pilot,0.0784,0.5793,0.5741,0.079,0.511,0.5657
3,farmer,0.0135,0.5774,0.3092,-0.0616,0.4109,0.2981
4,cook,0.0622,0.259,0.6051,0.0039,0.153,0.5703
5,person feeding baby,0.1506,0.5449,0.6485,0.0949,0.4158,0.5203
6,student,0.1689,0.3489,0.3193,0.1009,0.233,0.2741
7,singer,0.1736,0.0807,0.4831,0.1011,0.0451,0.447
8,artist,0.1637,0.4739,0.5604,-0.0127,0.2451,0.4322
9,teacher,0.0978,0.2267,0.5546,0.0386,0.1566,0.3827
10,factory worker,0.0745,0.9473,0.5817,-0.0083,0.7221,0.5091
11,technologist,0.2063,0.1807,0.3044,0.0754,-0.0133,0.2445
12,office worker,0.0045,0.8231,0.2835,-0.0312,0.637,0.2238
13,mechanic,0.0961,0.2694,0.4282,0.0274,0.2625,0.3276
14,scientist,0.1116,0.1459,0.4371,0.0435,0.1547,0.3296
15,astronaut,0.1898,0.3483,0.5103,0.0857,0.1906,0.369
16,firefighter,0.1527,0.1833,0.61,0.076,0.149,0.6232
17,person with white cane,-0.0007,0.3657,0.9658,-0.0449,0.3521,0.8161
18,person in motorized wheelchair,0.651,0.221,0.9566,0.462,0.1861,0.7431
19,person in manual wheelchair,0.088,0.2899,0.9413,0.1051,0.2318,0.7598
20,heart on fire,0.2216,0.6618,0.724,0.0909,0.5318,0.5354
21,mending heart,0.0257,0.3452,0.3794,-0.0011,0.3201,0.3321
22,transgender flag,0.1535,0.5947,0.8405,0.0357,0.5231,0.8063
23,rainbow flag,0.2794,0.8213,0.8595,0.2322,0.6121,0.6305
24,pirate flag,0.0514,0.514,0.4995,0.0374,0.4164,0.3753
25,black cat,0.2393,0.8416,0.7061,0.1947,0.5616,0.5028
26,service dog,-0.0091,0.6028,0.4773,-0.0343,0.4939,0.3785
27,polar bear,0.0808,0.3023,0.7081,-0.0008,0.1975,0.4794
28,eye in speech bubble,0.0392,0.9125,0.9125,0.0751,0.6537,0.6537
29,face exhaling,0.0404,0.4713,0.3716,-0.0363,0.4241,0.3907
30,face with spiral eyes,0.2185,0.623,0.3176,0.1132,0.4857,0.2215
31,face in clouds,0.193,0.679,0.5668,0.1104,0.5034,0.3813
32,mx claus,0.0952,0.6002,0.2825,0.008,0.382,0.2547
